facility_id,name,program_name,address,city,zip,permit_type,is_kbbq,osm_match
FA0361764,LET'S GOGI,LET'S GOGI,8248 FIRESTONE BLVD,DOWNEY,90241,RESTAURANT (61-150) SEATS HIGH RISK,True,
FA0363566,BHC TOFU HOUSE,BHC TOFU HOUSE,371 S DOHENY DR,BEVERLY HILLS,90211,RESTAURANT (31-60) SEATS HIGH RISK,False,
FA0364127,SEOGWAN MYEONOK BY YELLOW COW KBBQ,SEOGWAN MYEONOK BY YELLOW COW KBBQ,3460 W 8TH ST,LOS ANGELES,90005,RESTAURANT (61-150) SEATS HIGH RISK,True,
FA0364139,ZIGGLE KOREAN BBQ,ZIGGLE KOREAN BBQ,12300 SOUTH ST,ARTESIA,90701,RESTAURANT (61-150) SEATS HIGH RISK,True,Ziggle BBQ
FA0364215,HANGANG KOREAN RESTAURANT,HANGANG KOREAN RESTAURANT,5612 ROSEMEAD BLVD,TEMPLE CITY,91780,RESTAURANT (31-60) SEATS HIGH RISK,False,
FA0364306,KBOP KOREAN KITCHEN,KBOP KOREAN KITCHEN,1375 N GRAND AVE,WALNUT,91789,RESTAURANT (0-30) SEATS HIGH RISK,False,
FA0364561,A RI RANG TOFU HOUSE,A RI RANG TOFU HOUSE,529 E VALLEY BLVD 128,SAN GABRIEL,91776,RESTAURANT (61-150) SEATS HIGH RISK,False,A Ri Rang Tofu House
FA0364790,BBQ CHICKEN,BBQ CHICKEN,5891 KANAN RD,AGOURA HILLS,91301,RESTAURANT (0-30) SEATS MODERATE RISK,False,
FA0365073,HODORI365 & BOBAGO365,HODORI365 & BOBAGO365,8742 CORBIN AVE,NORTHRIDGE,91324,RESTAURANT (61-150) SEATS HIGH RISK,False,
FA0365255,350 DEGREE K-BBQ & BAR,350 DEGREE K-BBQ & BAR,11050 MAGNOLIA BLVD,NORTH HOLLYWOOD,91601,RESTAURANT (61-150) SEATS HIGH RISK,True,
FA0365573,SUN NONG DAN  WEST,SUN NONG DAN WEST,11300 NEBRASKA AVE,LOS ANGELES,90025,RESTAURANT (0-30) SEATS HIGH RISK,False,Sun Nong Dan
FA0366115,THE DAE-MUN,THE DAE-MUN,410 W MAIN ST 110,ALHAMBRA,91801,RESTAURANT (61-150) SEATS HIGH RISK,False,The Dae-Mun
FA0398444,GANGNAM KIMBOB,GANGNAM KIMBOB,12244 SOUTH ST,ARTESIA,90701,RESTAURANT (0-30) SEATS HIGH RISK,False,
FA0398748,BBQ CHICKEN LANCASTER,BBQ CHICKEN LANCASTER,1731 E AVENUE J,LANCASTER,93535,RESTAURANT (31-60) SEATS MODERATE RISK,False,
FA0398789,YOUNG DONG TOFU HOUSE,YOUNG DONG TOFU HOUSE,"927 E LAS TUNAS DR UNIT E, F",SAN GABRIEL,91776,RESTAURANT (31-60) SEATS HIGH RISK,False,Young Dong Tofu House
FA0399085,SEOUL SALON,SEOUL SALON,3600 WILSHIRE BLVD STE 100 B,LOS ANGELES,90010,RESTAURANT (31-60) SEATS HIGH RISK,False,Seoul Salon
FA0399088,TOFU CHON LA,TOFU CHON LA,3526 W 8TH ST,LOS ANGELES,90005,RESTAURANT (61-150) SEATS HIGH RISK,False,Tofu Chon
FA0400096,THE MOO KOREAN BBQ,THE MOO KOREAN BBQ,231 ARIZONA AVE,SANTA MONICA,90401,RESTAURANT (61-150) SEATS HIGH RISK,True,
FA0400912,BULGOGI,RESTAURANT,3500 W 6TH ST 228,LOS ANGELES,90020,RESTAURANT (0-30) SEATS HIGH RISK,True,
FA0400996,BBQ CHICKEN,BBQ CHICKEN,1252 BERYL ST,REDONDO BEACH,90277,RESTAURANT (0-30) SEATS HIGH RISK,False,
FA0402125,BBQ CHICKEN WALNUT,BBQ CHICKEN WALNUT,505 N GRAND AVE,WALNUT,91789,RESTAURANT (0-30) SEATS HIGH RISK,False,
FA0402158,READY SET GOGI,READY SET GOGI,20056 E ARROW HWY STE B,COVINA,91724,RESTAURANT (0-30) SEATS HIGH RISK,True,
