FACILITY ID,FACILITY NAME,RECORD ID, PROGRAM NAME,PROGRAM ELEMENT,PE DESCRIPTION,FACILITY ADDRESS,FACILITY CITY,FACILITY  STATE,FACILITY ZIP,FACILITY LATITUDE,FACILITY LONGITUDE,OWNER ID,OWNER NAME,OWNER ADDRESS,OWNER CITY,OWNER STATE,OWNER ZIP
FA0001950,24 HOUR FITNESS #123,PR0030414,24 HOUR FITNESS #123,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",10125 E WHITTWOOD DR,WHITTIER,CA,90603,33.944392810,-117.999755300,OW0000732,"24 HOUR FITNESS USA, LLC",PO BOX 2409,CARLSBAD,CA,92018
FA0001951,24 HOUR FITNESS,PR0023583,24 HOUR FITNESS,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",13312 IMPERIAL HWY,SANTA FE SPRINGS,CA,90670,33.916881920,-118.048504100,OW0000732,"24 HOUR FITNESS USA, LLC",PO BOX 2409,CARLSBAD,CA,92018
FA0001968,3 STAR DISCOUNT STORE,PR0021812,3 STAR DISCOUNT STORE,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",2222 S VERMONT AVE,LOS ANGELES,CA,90007,34.153215990,-118.436149000,OW0005540,BUTT MOHAMMAD SHAHBAZ,2222 S VERMONT AVE,LOS ANGELES,CA,90007
FA0001982,3RD ST CHEVRON,PR0033689,3RD ST CHEVRON,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",3817 W 3RD ST,LOS ANGELES,CA,90020,34.069179510,-118.298532800,OW0003061,ARMEHR CORP,3817 W 3RD ST,LOS ANGELES,CA,90020
FA0001988,4 SEASONS HOTEL,PR0000335,4 SEASONS HOTEL-THE BAR,1630,RESTAURANT (0-30) SEATS LOW RISK,2 DOLE DR,WESTLAKE VILLAGE,CA,91362,34.151368474,-118.804505800,OW0038705,WESTLAKE WELLBEING PROPERTIES LLC,2 DOLE DR,WESTLAKE VILLAGE,CA,91362
FA0001988,4 SEASONS HOTEL,PR0028477,4 SEASONS HOTEL BANQUET,1641,RESTAURANT (151 + ) SEATS HIGH RISK,2 DOLE DR,WESTLAKE VILLAGE,CA,91362,34.151368474,-118.804505800,OW0038705,WESTLAKE WELLBEING PROPERTIES LLC,2 DOLE DR,WESTLAKE VILLAGE,CA,91362
FA0001988,4 SEASONS HOTEL,PR0047138,4 SEASONS HOTEL MAIN KITCHEN,1641,RESTAURANT (151 + ) SEATS HIGH RISK,2 DOLE DR,WESTLAKE VILLAGE,CA,91362,34.151368474,-118.804505800,OW0038705,WESTLAKE WELLBEING PROPERTIES LLC,2 DOLE DR,WESTLAKE VILLAGE,CA,91362
FA0002000,42ND ST BAGEL CAFE,PR0016869,42ND ST BAGEL CAFE,1631,RESTAURANT (0-30) SEATS MODERATE RISK,225 N YALE AVE,CLAREMONT,CA,91711,34.096201820,-117.718291500,OW0014601,HALL HITE CORP,225 N YALE AVE,CLAREMONT,CA,91711
FA0002011,5I INDOCHINE CUISINE,PR0036788,5I INDOCHINE CUISINE,1635,RESTAURANT (31-60) SEATS HIGH RISK,5407 SEPULVEDA BLVD,CULVER CITY,CA,90230,33.994701150,-118.395836900,OW0028466,"PHO ZONE, INC",5407 SEPULVEDA BLVD,CULVER CITY,CA,90230
FA0002076,PHILIPPE,PR0034643,PHILIPPE,1641,RESTAURANT (151 + ) SEATS HIGH RISK,1001 N ALAMEDA ST,LOS ANGELES,CA,90012,34.059732390,-118.236916900,OW0028432,PHILIPPE THE ORIGINAL INC,1001 N ALAMEDA ST,LOS ANGELES,CA,90012
FA0002104,SEE'S CANDIES,PR0020398,SEE'S CANDIES INC,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",16844 DEVONSHIRE ST,GRANADA HILLS,CA,91344,34.257305220,-118.499663300,OW0032100,"SEE'S CANDY SHOPS, INC",210 EL CAMINO REAL,SOUTH SAN FRANCISCO,CA,94080
FA0002113,7-ELEVEN 39064B,PR0009304,57 EXPRESS,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",3111 W TEMPLE AVE,POMONA,CA,91768,34.044481720,-117.802439100,OW0012180,"FOROSHAHI, HOOSHANG",PO BOX 139044,POMONA,CA,91768
FA0002116,59TH & LEX,PR0007263,59TH & LEX ( BLOOMINGDALES),1635,RESTAURANT (31-60) SEATS HIGH RISK,14060 RIVERSIDE DR,SHERMAN OAKS,CA,91423,34.157441710,-118.438892100,OW0004844,"BLOOMINGDALE'S, INC",145 PROGRESS PL,CINCINNATI,OH,45202
FA0002133,7-ELEVEN #27356A,PR0007017,7- ELEVEN #27356-A,1614,"FOOD MKT RETAIL (2,000+ SF) MODERATE RISK",100 W IMPERIAL AVE STE A,EL SEGUNDO,CA,90245,33.930720960,-118.415993200,OW0026043,NIAZ TAHIRA,PO BOX 219088,DALLAS,TX,75221
FA0002134,7-ELEVEN #26628C,PR0005224,7 -ELEVEN #26628C,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",2582 E SLAUSON AVE # 26628,HUNTINGTON PARK,CA,90255,33.989175980,-118.225483900,OW0029445,RAJEEN WALIA ENTERPRISES INC,PO BOX 219088,DALLAS,TX,75222
FA0002136,7-ELEVEN #2135-17518E,PR0020352,7-ELEVEN #2135-17518E,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",803 E MISSION BLVD,POMONA,CA,91766,34.055635190,-117.740936500,OW0001941,AKASH CORP,PO BOX 219088,DALLAS,TX,75221
FA0002139,7-ELEVEN #25051B,PR0012272,7 ELEVEN #25051B,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",12170 RAMONA BLVD,EL MONTE,CA,91732,34.075573090,-118.008122500,OW0018873,"KHAN, ADNAN",PO BOX 219088,DALLAS,TX,75221
FA0002140,7-ELEVEN #14024G,PR0025674,7-ELEVEN 14024G,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",12954 BESS AVE,BALDWIN PARK,CA,91706,34.067182410,-117.992152900,OW0018873,"KHAN, ADNAN",PO BOX 219088,DALLAS,TX,75221
FA0002149,7-ELEVEN #18020E-2171,PR0028487,7-ELEVEN #18020 E-2171,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",304 E AVENUE I,LANCASTER,CA,93535,34.703661390,-118.125701100,OW0032996,SINGH DADA,PO BOX 219088,DALLAS,TX,75221
FA0002150,7-ELEVEN #33590B-2174,PR0024932,7-ELEVEN #33590B/2174,1614,"FOOD MKT RETAIL (2,000+ SF) MODERATE RISK",14968 MULBERRY DR,WHITTIER,CA,90604,33.934959890,-118.012321600,OW0016596,"HUNDAL, MOHAN SINGH",PO BOX 219088,DALLAS,TX,75221
FA0002151,7-ELEVEN #13896A,PR0006312,7-11 FOOD STORE #13896A,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",27761 BOUQUET CANYON RD,SANTA CLARITA,CA,91350,34.445793910,-118.506674700,OW0017400,JANIZEH CORPORATION,PO BOX 139044,DALLAS,TX,75313
FA0002152,7-ELEVEN #17837D,PR0007671,7-ELEVEN 17837D,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",44011 SIERRA HWY,LANCASTER,CA,93534,34.682395500,-118.134504200,OW0033029,"SINGH, DADA",PO BOX 219088,DALLAS,TX,75221
FA0002155,7-ELEVEN #26945 C,PR0024034,7-ELEVEN #26945 C,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",27680 LAKE HUGHES RD,CASTAIC,CA,91384,34.496528880,-118.621961100,OW0035829,"THIARA, HARNEK",PO BOX 219088,DALLAS,TX,75221
FA0002163,UNION 76,PR0042969,UNION 76,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",7101 FOOTHILL BLVD,TUJUNGA,CA,91042,34.248196070,-118.286089700,OW0028593,PINEWOODPETROL INC,7101 FOOTHILL BLVD,TUJUNGA,CA,91042
FA0002164,76 GAS STATION SNACK SHOP,PR0044341,76 GAS STATION SNACK SHOP,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",20841 DEVONSHIRE ST,CHATSWORTH,CA,91311,34.257408060,-118.587804200,OW0015565,"HILU BROTHERS, INC",20841 DEVONSHIRE ST,CHATSWORTH,CA,91311
FA0002200,KOREAN GARDENS RESTAURANT,PR0004821,KOREAN GARDENS RESTAURANT,1638,RESTAURANT (61-150) SEATS HIGH RISK,950 S VERMONT AVE,LOS ANGELES,CA,90006,34.054034710,-118.291451200,OW0019895,KOREAN GARDENS RESTAURANT,950 S VERMONT AVE,LOS ANGELES,CA,90006
FA0002213,RANCHITO MILLAN,PR0030276,RANCHITO MILLAN,1638,RESTAURANT (61-150) SEATS HIGH RISK,5803 SOTO ST,HUNTINGTON PARK,CA,90255,33.989900940,-118.219608400,OW0022069,"LOMELI, JAVIER",5803 SOTO ST,HUNTINGTON PARK,CA,90255
FA0002215,LOS ANGELES COUNTRY CLUB MAIN KITCHEN,PR0040749,LOS ANGELES COUNTRY CLUB MAIN KITCHEN,1641,RESTAURANT (151 + ) SEATS HIGH RISK,10101 WILSHIRE BLVD,LOS ANGELES,CA,90024,34.069304007,-118.423315007,OW0022257,LOS ANGELES COUNTRY CLUB,10101 WILSHIRE BLVD,LOS ANGELES,CA,90024
FA0002228,MOFFETT'S CHICKEN PIE SHOPPE,PR0038107,MOFFETT'S CHICKEN PIE SHOPPE,1635,RESTAURANT (31-60) SEATS HIGH RISK,1409 S BALDWIN AVE,ARCADIA,CA,91007,34.122957410,-118.056560100,OW0024724,MOFFETT ENTERPRISES INC,1409 S BALDWIN AVE,ARCADIA,CA,91006
FA0002239,NELSON'S LIQUOR & MARKET,PR0005511,NELSON'S LIQUOR & MARKET,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",4420 W VICTORY BLVD,BURBANK,CA,91505,34.184752740,-118.359338100,OW0025403,"MUSHMELL,SAM",4420 W VICTORY BLVD,BURBANK,CA,91505
FA0002240,MUSSO AND FRANK GRILL,PR0007220,MUSSO AND FRANK GRILL,1641,RESTAURANT (151 + ) SEATS HIGH RISK,6667 HOLLYWOOD BLVD,LOS ANGELES,CA,90028,34.101729740,-118.335364600,OW0025408,MUSSO AND FRANK GRILL INC,6667 HOLLYWOOD BLVD,LOS ANGELES,CA,90028
FA0002247,OAKMONT COUNTRY CLUB,PR0007165,OAKMONT COUNTRY CLUB INC,1641,RESTAURANT (151 + ) SEATS HIGH RISK,3100 COUNTRY CLUB DR,GLENDALE,CA,91208,34.193700380,-118.234814800,OW0026474,OAKMONT COUNTRY CLUB INC,3100 COUNTRY CLUB DR,GLENDALE,CA,91208
FA0002263,PLAZA SALOON,PR0025155,PLAZA SALOON,1633,RESTAURANT (31-60) SEATS LOW RISK,739 N LA BREA AVE,LOS ANGELES,CA,90038,34.084521000,-118.344103200,OW0028718,MEL-BREA INC,739 N LA BREA AVE,LOS ANGELES,CA,90038
FA0002266,7-ELEVEN #13734-C,PR0025815,7-ELEVEN #13734-C,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",3737 W 230TH ST,TORRANCE,CA,90505,33.999551280,-118.283232400,OW0001220,"RAQBA, INC",PO BOX 219088,DALLAS,TX,75221
FA0002269,7-ELEVEN,PR0032625,7-ELEVEN,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",1241 W WASHINGTON BLVD,LOS ANGELES,CA,90007,34.185795990,-118.431290800,OW0002170,ALI'S ENTERPRISES INC 2,PO BOX 219088,DALLAS,TX,75221
FA0002270,7-ELEVEN #20763B,PR0032696,7-ELEVEN #20763B,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",5600 SAN VICENTE BLVD,LOS ANGELES,CA,90019,34.053820950,-118.354838500,OW0003034,"ARIF, MUHAMMED",PO BOX 219088,DALLAS,TX,75221
FA0002273,7-ELEVEN #24479B,PR0041837,7-ELEVEN #24479-B,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",730 E FOOTHILL BLVD,POMONA,CA,91767,34.106827360,-117.737251300,OW0004624,"BHARNANI, DILIP",PO BOX 219088,DALLAS,TX,75221
FA0002277,7-ELEVEN,PR0006208,7-ELEVEN,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",4051 LEIMERT BLVD,LOS ANGELES,CA,90008,34.010657380,-118.323490400,OW0009367,DALLAS MARKET INC,4051 LEIMERT BLVD,LOS ANGELES,CA,90008
FA0002279,7-ELEVEN #20814C,PR0030734,7-ELEVEN #20814-C,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",8363 FOOTHILL BLVD,SUNLAND,CA,91040,34.259866630,-118.315500400,OW0009854,"DHALIWAL, MANJIT",PO BOX 219088,DALLAS,TX,75221
FA0002280,7-ELEVEN #20007E,PR0031195,7-ELEVEN STORE #20007E,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",12055 VANOWEN ST,NORTH HOLLYWOOD,CA,91606,34.194087770,-118.396198600,OW0009862,"DHAWAN, RIPU",PO BOX 219088,DALLAS,TX,75221
FA0002281,7-ELEVEN #34521A,PR0010157,7-ELEVEN #34521A,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",1410 S GRAND AVE,GLENDORA,CA,91740,34.113605800,-117.872191700,OW0009869,DHILLON FOODS INC,PO BOX 219088,DALLAS,TX,75221
FA0002282,7-ELEVEN,PR0039145,7-ELEVEN,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",7625 EASTERN AVE,BELL GARDENS,CA,90201,33.963452720,-118.165669500,OW0009869,DHILLON FOODS INC,PO BOX 219088,DALLAS,TX,75221
FA0002286,7-ELEVEN,PR0032729,7-ELEVEN,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",5495 SEPULVEDA BLVD STE #L,CULVER CITY,CA,90230,33.993178570,-118.395352600,OW0011472,"F & M PREMIER MARKETING, INC",5495 SEPULVEDA BLVD #1,CULVER CITY,CA,90230
FA0002291,7-ELEVEN,PR0011366,7-ELEVEN,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",6033 WHITTIER BLVD,LOS ANGELES,CA,90022,34.017195120,-118.140934800,OW0013553,"GOLIAN, HOOMAN",6033 WHITTIER BLVD,LOS ANGELES,CA,90022
FA0002294,7-ELEVEN,PR0030338,7-ELEVEN,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",5076 W SUNSET BLVD,LOS ANGELES,CA,90027,34.097892450,-118.300303800,OW0015469,H-H & S ENTERPRISES INC,5076 SUNSET BLVD,LOS ANGELES,CA,90027
FA0002296,7-ELEVEN #18819C,PR0029064,7-ELEVEN #18819-C,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",10660 SEPULVEDA BLVD,MISSION HILLS,CA,91345,34.264305330,-118.466974600,OW0017821,"JOHAL STORES, INC",PO BOX 219088,DALLAS,TX,75221
FA0002300,7-ELEVEN #13839A,PR0006358,7-ELEVEN # 13839A,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1111 N GARFIELD AVE,ALHAMBRA,CA,91801,34.104857740,-118.134286200,OW0018624,KBHULLAR ENTERPRISE,PO BOX 219088,DALLAS,TX,75221
FA0002303,7-ELEVEN #33572C,PR0039007,7-ELEVEN STORE #33572C,1614,"FOOD MKT RETAIL (2,000+ SF) MODERATE RISK",3018 W MANCHESTER BLVD,INGLEWOOD,CA,90305,33.959675400,-118.326081500,OW0019697,"KISHORE, JUGAL",PO BOX 139044,INGLEWOOD,CA,90305
FA0002306,7-ELEVEN #2173-13724D,PR0000514,7-ELEVEN STORE #2173-13724D,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",22829 S FIGUEROA ST,CARSON,CA,90745,33.818436750,-118.286146100,OW0020712,"LANGHA, SALEEM AKHTER",PO BOX 219088,DALLAS,TX,75221
FA0002307,7-ELEVEN #18782C,PR0028530,7-ELEVEN #18782C,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",10648 S ATLANTIC AVE,LYNWOOD,CA,90262,33.934227070,-118.182013500,OW0021814,"LIM, VICHEA",PO BOX 711,DALLAS,TX,75221
FA0002308,7-ELEVEN #35283A,PR0035670,7-ELEVEN #35283A,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",8661 SEPULVEDA BLVD,NORTH HILLS,CA,91343,34.227958710,-118.467862800,OW0022313,"LOTUS ELEVEN VENTURES, INC",PO BOX 219088,DALLAS,TX,75221
FA0002309,7-ELEVEN,PR0011066,7-ELEVEN,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",504 S CITRUS AVE,AZUSA,CA,91702,34.114000400,-117.890037200,OW0023280,"MAR, CHO",PO BOX 139044,AZUSA,CA,91702
